ipo_id,company_name,symbol,sector,issue_open_date,issue_close_date,allotment_date,listing_date,first_trading_date,total_issue_shares,general_public_shares,issue_price,face_value,issue_premium,valid_applications,applied_shares,first_day_open,first_day_high,first_day_low,first_day_close,first_day_ltp,net_worth_per_share,eps,book_value_per_share,casba_fee,annual_account_cost,risk_free_rate,capital_lock_days
1,Sarvottam Cement Limited,SARBTM,Manufacturing And Processing,2024-02-25,2024-02-28,2024-03-05,2024-03-20,2024-03-21,2776076,2776076,360.9,100,260.9,1012345,52123450,556.0,556.0,556.0,556.0,556.0,185.36,22.1,185.36,15,150,0.06,15
2,Sonapur Minerals And Oil Limited,SONA,Manufacturing And Processing,2023-10-01,2023-10-04,2023-10-10,2023-10-15,2023-10-16,9732544,9732544,237.58,100,137.58,1205600,15405000,350.0,350.0,350.0,350.0,350.0,160.0,15.0,160.0,15,150,0.06,12
3,IME Life Insurance Company Limited,ILI,Life Insurance,2023-07-06,2023-07-10,2023-07-15,2023-07-25,2023-07-26,9600000,9600000,236.91,100,136.91,1156890,14205000,380.0,380.0,380.0,380.0,380.0,140.0,10.0,140.0,15,150,0.06,14
4,Ghorahi Cement Industry Limited,GCIL,Manufacturing And Processing,2023-06-15,2023-06-19,2023-06-25,2023-07-05,2023-07-06,6911670,6911670,435.0,100,335.0,605890,12205000,566.0,566.0,500.0,530.0,530.0,226.0,18.0,226.0,15,150,0.06,15
5,Vision Lumbini Urja Company Limited,VLUCL,Hydro Power,2023-11-02,2023-11-06,2023-11-12,2023-11-20,2023-11-21,2075285,2075285,100.0,100,0.0,1105890,12205000,140.0,140.0,140.0,140.0,140.0,101.0,2.0,101.0,15,150,0.06,14
6,Sun Nepal Life Insurance,SNLI,Life Insurance,2023-08-17,2023-08-21,2023-08-27,2023-09-05,2023-09-06,7680000,7680000,239.0,100,139.0,1465890,16205000,360.0,360.0,340.0,350.0,350.0,128.0,12.0,128.0,15,150,0.06,15
7,Reliable Nepal Life Insurance,RNLI,Life Insurance,2023-08-08,2023-08-12,2023-08-18,2023-08-28,2023-08-29,9600000,9600000,257.0,100,157.0,1365890,15205000,420.0,420.0,420.0,420.0,420.0,152.0,14.0,152.0,15,150,0.06,15
8,Mid Solu Hydropower,MSHL,Hydro Power,2023-09-14,2023-09-18,2023-09-24,2023-10-02,2023-10-03,621172,621172,100.0,100,0.0,1265890,13205000,250.0,250.0,250.0,250.0,250.0,98.0,4.0,98.0,15,150,0.06,15
9,Bhagawati Hydropower,BGWT,Hydro Power,2023-09-05,2023-09-08,2023-09-15,2023-09-25,2023-09-26,712220,712220,116.0,100,16.0,1165890,12205000,280.0,280.0,280.0,280.0,280.0,105.0,5.0,105.0,15,150,0.06,15
10,Hathaway Investment Nepal,HATHY,Investment,2023-09-07,2023-09-11,2023-09-18,2023-09-28,2023-09-29,2427750,2427750,50.0,50,0.0,1365890,15205000,150.0,150.0,150.0,150.0,150.0,75.0,8.0,75.0,15,150,0.06,15
