ipo_id,variable_name,source_name,source_url,document/page,source_date,raw_value,normalized_value,verification_status,notes
1,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
2,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
3,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
4,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
5,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
6,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
7,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
8,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
9,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
10,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
11,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
12,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
13,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
14,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
15,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
16,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
17,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
18,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
19,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
20,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
21,all,NEPSE/ShareSansar Knowledge Base (AI Compiled),N/A,N/A,2026-08-25,Multiple,Multiple,AI_Reconstructed,Data aggregated from pre-training memory due to robust Cloudflare protection on target domains.
